sample_id,start_hz,end_hz,target,prob_carpet,predicao
0209af20-34f8-5c0e-bdad-94b1e7046f71,1000,1250,0,0.0008843151,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1125,1375,0,0.0008843151,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1250,1500,0,0.0010451215,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1375,1625,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1500,1750,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1625,1875,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1750,2000,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1875,2125,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2000,2250,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2125,2375,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2250,2500,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2375,2625,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2500,2750,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2625,2875,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2750,3000,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2875,3125,0,0.0012058808,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3000,3250,0,0.0013418422,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3125,3375,0,0.0013418422,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3250,3500,0,0.0015517533,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3375,3625,1,0.9309777,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3500,3750,1,0.99591404,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3625,3875,1,0.9981408,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3750,4000,1,0.9981408,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3875,4125,1,0.9981408,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4000,4250,1,0.9981408,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4125,4375,1,0.99662673,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4250,4500,1,0.9926016,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4375,4625,1,0.094157994,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,4500,4750,0,0.0011916244,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,4625,4875,0,0.0011048517,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,4750,5000,0,0.0009928794,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,4875,5125,0,0.0009928794,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5000,5250,0,0.0009928794,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5125,5375,0,0.0009928794,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5250,5500,0,0.0009928794,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5375,5625,0,0.0009928794,0
