sample_id,regions
ef823432-8249-5cba-ace1-3c5192b825b7,"[[4000.0, 5300.0]]"
9b7308b8-1db3-5130-b498-b81dffaedd7d,"[[4100.0, 5750.0]]"
e5b6beb7-fbd1-5bfb-ae40-fb61922f2215,"[[3375.0, 3643.0], [4000.0, 5250.0]]"
0209af20-34f8-5c0e-bdad-94b1e7046f71,"[[3525.0, 4438.0]]"
505894c3-1d24-560f-9588-d758b1fb7004,"[[3760.0, 4000.0], [4800.0, 5640.0]]"
b015887d-e75d-515b-9f8b-7bc37cf2e277,"[[3637.0, 5475.0]]"
446bb31a-b1af-5e35-8cf4-8e97c2e6504b,"[[3672.0, 4698.0]]"
01ad938e-67a8-5dec-8910-2203ce822276,"[[4857.0, 6012.0]]"
56c1f5f5-bae1-58fb-98a3-5af42e69b393,"[[2310.0, 3310.0], [3600.0, 4340.0], [4900.0, 5480.0]]"
6b7b46c1-4b7a-5468-bb1d-2d22cf45d44e,"[[2359.0, 2700.0], [3233.0, 4396.0]]"
562244b5-894f-5ca2-ba42-65beba9b30eb,"[[2765.0, 4300.0]]"
c4fb483c-a85a-5e18-a44b-91c449c23923,"[[2700.0, 4343.0]]"
82f606b1-293d-5b38-808b-a842df6c85d9,"[[3088.0, 4385.0]]"
efbd1500-5844-5cbe-9705-8e55e1baaa8c,"[[2016.0, 2700.0]]"
5931ebdf-2e89-51a6-818a-ecc9644cf022,"[[1983.0, 2710.0], [3156.0, 3957.0]]"
70f48126-b992-57f8-bb57-9af85308a7d5,"[[1618.0, 3050.0]]"
5932c887-37f7-5b7f-9522-b2d234c9c75a,"[[1816.0, 3055.0], [3500.0, 4154.0]]"
d8c20439-f8f6-5b89-84cb-50440051553f,"[[1996.0, 2707.0], [3152.0, 3952.0]]"
6a7b5a86-071f-5e2b-97d6-299fe55a8e33,"[[2413.0, 4400.0]]"
ccd17931-56bc-5470-8a47-89356b267edd,"[[2344.0, 2881.0], [3354.0, 4467.0]]"
9da3a9bb-65e4-5899-9280-cdd730913e87,"[[2249.0, 2655.0], [3045.0, 4517.0]]"
ce31ebce-aa58-5112-9643-89c4559dd5ae,"[[1032.0, 1358.0], [2305.0, 3235.0]]"
99a4f3dc-5cab-5eae-bd94-c004baef316d,"[[2214.0, 2711.0], [3902.0, 4372.0], [4613.0, 4822.0]]"
82e91f2f-4ed5-5591-9617-0ff6f3b0e0c1,"[[2569.0, 4856.0]]"
771e32b1-39b4-5a58-bb2b-c618ce2701d8,"[[2005.0, 4294.0]]"
0b780993-9bf5-59f4-8b2c-c8a2a52adef6,"[[2107.0, 2676.0], [2817.0, 4268.0]]"
0d54e6c8-db79-5c1c-a1e3-1996a7e30bd7,"[[2764.0, 4039.0]]"
555cbc73-5a58-53a2-b432-c415f46e8c7c,"[[2552.0, 4032.0]]"
aa57fb8b-0159-5732-a895-b9a1bef40d14,"[[2287.0, 3462.0]]"
96db2e4b-cdba-5ba6-bc43-e292d3a7b58d,"[[2331.0, 3216.0]]"
09a53033-8d4f-5ea1-a07f-304e00880fce,"[[2137.0, 3440.0]]"
658be267-2af4-5447-af1a-19e3827286b5,"[[1871.0, 2028.0], [2172.0, 3824.0]]"
60fba969-aed1-5c8c-8988-91b0c9cc38b2,"[[2455.0, 2772.0]]"
f139f1f0-e507-5094-bdb5-cc0ac2d29e60,"[[1349.0, 3375.0]]"
b4cbcfe4-09db-5bd3-ae42-c6bf0ab67b91,"[[2897.0, 4198.0]]"
22033227-93f5-515a-9481-02e718690952,"[[2825.0, 4139.0]]"
d1febfce-a319-5001-9847-e525ae330331,"[[2724.0, 4133.0]]"
0f898cd0-9424-5c85-ba13-96635917e2ec,"[[2546.0, 4038.0]]"
b3f7bc7a-5414-5112-9028-49f4fd4a9072,"[[1154.0, 2583.0]]"
b074ef30-8905-534c-9550-2bcc25223f6d,"[[2752.0, 3368.0]]"
ad57d6b2-f816-5bb2-b4e8-191404207168,"[[4722.0, 5609.0]]"
2d9db568-378a-520d-b0e6-7b723e15e8f3,"[[2365.0, 3880.0], [5059.0, 5488.0]]"
411df0cb-7f77-5aa9-a029-8372d648d437,"[[1519.0, 2288.0]]"
17a95385-fe3f-5ea3-965c-7fb937a6a476,"[[1520.0, 2398.0], [3709.0, 5502.0]]"
8a191bea-d6bc-5dda-a504-6f1860c52512,"[[1838.0, 2583.0], [5095.0, 5553.0]]"
75a0970d-7c9a-5fd4-9a83-80cddf68ce6c,"[[3435.0, 4673.0]]"
96bb6963-52fc-5845-9de2-1cbb1da1775b,"[[1692.0, 1803.0], [2407.0, 3452.0], [3563.0, 3949.0], [4204.0, 4521.0]]"
6dbf3276-3d5a-5c9f-930e-09da6ec60243,"[[2881.0, 4595.0]]"
b5eb6bf8-b1f7-53aa-93de-7d1d2d3192f1,"[[3555.0, 4631.0]]"
8e9a019f-aa1c-5546-9074-1827412472e5,"[[3542.0, 4606.0]]"
fe6c82a8-8ba5-5472-b8e2-fe575ecee83d,"[[3428.0, 4460.0]]"
f26b0d46-fb3e-5a2f-9121-73653390cb09,"[[3041.0, 4215.0]]"
7174b174-1688-567c-b3e0-e695afec98b0,"[[2934.0, 4194.0]]"
ae876d68-5128-5380-b331-92f01c503195,"[[2875.0, 4129.0], [4420.0, 5003.0], [6155.0, 6580.0]]"
19645c9c-0461-5ad7-8032-ced71b3cce68,"[[2940.0, 4080.0]]"
14d7e50e-5172-5a9e-af25-43b70b4c995e,"[[2547.0, 4220.0]]"
3186c48d-fc24-5300-910a-6d0bafdd87ea,"[[1494.0, 2414.0]]"
203efb1e-ce12-5263-b22f-3871b521db87,"[[2358.0, 3689.0], [2295.0, 2745.0], [2821.0, 4000.0]]"
280d2acc-2dbb-5312-849f-eb414cac4aac,"[[2364.0, 3911.0], [2358.0, 3911.0]]"
c5002a60-2ddc-56ea-b76c-4890fba25ff8,"[[3510.0, 4534.0]]"
120cb44f-d10f-5af6-8f29-0d5c56945888,"[[3689.0, 3992.0], [4835.0, 5624.0]]"
549003c7-0431-5f79-8911-bcc709a6e4b1,"[[2428.0, 2637.0], [2981.0, 4315.0]]"
11d8b435-ba4a-564f-b0e8-d5cbed8adbb2,"[[2763.0, 3793.0], [4150.0, 5767.0]]"
0e9e85c7-2cad-58ce-b854-b39719edcf48,"[[2455.0, 3671.0], [5551.0, 6185.0]]"
1b9c3945-851d-5aae-9e60-b2d6d03ba799,"[[2786.0, 4496.0]]"
26a661a8-52c9-5027-8c78-8d56febd3186,"[[2754.0, 3470.0], [4075.0, 4752.0]]"
4f05f3d3-9d9c-5ad2-82de-c854e4740a1d,"[[1195.0, 3213.0]]"
e6a28ea1-895d-55dc-96ba-889c5d371d18,"[[1116.0, 3222.0]]"
b631d099-cf8b-59ab-a905-be1b42be9fba,"[[3040.0, 4665.0], [5806.0, 6135.0]]"
97f5d94c-4b7f-5b7a-a9fb-bded907ed876,"[[1684.0, 2354.0]]"
ecee1976-fe2c-522d-9ce6-b902875aee75,"[[2907.0, 4576.0]]"
b0a9633f-6445-56c3-876c-e818a15c2e51,"[[2150.0, 2338.0], [3395.0, 5278.0]]"
a5fa9cd0-7e64-5046-9cd8-112b47f1a303,"[[2887.0, 3122.0], [4832.0, 5989.0]]"
c3fbd8aa-6496-5c05-9d05-a259d6e251c3,"[[1328.0, 1754.0], [2925.0, 3645.0]]"
8a092875-4d3b-533c-bd9b-8888fbc47f3a,"[[2415.0, 2630.0], [3117.0, 4016.0]]"
6f435493-d5e5-5ba7-9dcd-290e37794448,"[[2127.0, 4587.0]]"
d94a6714-6260-57a6-bd93-e855a2a02314,"[[3422.0, 4013.0], [4671.0, 5627.0]]"
1ec5261f-75c8-5131-8c2c-ee06e50d421f,"[[2742.0, 3810.0]]"
a0f31bbf-1fc1-54af-8aef-746b68937778,"[[1883.0, 4937.0]]"
20c8a059-db6d-5e72-a180-d182b6153e76,"[[1438.0, 6380.0]]"
bf3e9715-beda-5814-af6d-d812dec4f18f,"[[1369.0, 2105.0]]"
553e3a09-1381-53d1-8e0c-1dad904e7988,"[[1946.0, 2564.0]]"
3d034161-83a7-5165-afa9-5c649fed6489,"[[2745.0, 3922.0]]"
2115d15e-4058-5193-a51d-6e5013ef50e7,"[[3017.0, 4870.0]]"
